Gene name	Human Protein Atlas ID	EntrezGene transcript name ID
PPP4R4	HPA041866	
PPP4R4	HPA050321	
HIST1H2BN	42205	
HIST1H2BN	43013	
HIST1H2BN	48671	
RGN	HPA029102	
RGN	HPA029103	
RGN	29102	
RGN	29103	
VWDE		
PPP4R4		
PPP4R4		
HIST1H2BN	HPA042205	
HIST1H2BN	HPA043013	
HIST1H2BN	HPA048671	
HIST1H2BN	42205	
HIST1H2BN	43013	
HIST1H2BN	48671	
VWDE		
VWDE		
VWDE		
RGN	HPA029102	
RGN	HPA029103	
RGN	29102	
RGN	29103	
RGN	HPA029102	
RGN	HPA029103	
RGN	29103	
VWDE		
SHF		
VWDE	36044	
KLHL7	HPA029491	
KLHL7	HPA029492	
KLHL7	29491	
KLHL7	29492	
ITPRID1		
ITPRID1		
KLHL7	HPA029491	
KLHL7	HPA029492	
SHF	HPA057381	
SHF	57381	
SHF		
IGLV2-33		
SHF		
KLHL7	HPA029491	
KLHL7	HPA029492	
KLHL7	29491	
KLHL7	29492	
SHF		
ITPK1	HPA055230	
FYB1	CAB025336	
FYB1	HPA026796	
FYB1	25336	
FYB1	26796	
KLHL7	HPA029491	
KLHL7	HPA029492	
ITPK1	HPA055230	
SHF		
ITPRID1	HPA024103	
ITPRID1	24103	
ITPK1	HPA055230	
KLHL7		
ITPRID1	HPA024103	
ITPRID1	24103	
CGREF1		
ITPK1		
SHF		
ITPRID1		
SHF		
ITPRID1	HPA024103	
ITPRID1	24103	
SHF		
CDK7		
ITPRID1	24103	
ITPRID1	HPA024103	
SHF		
ITPK1		
ITPK1		
CGREF1	HPA008241	
ITPK1		
ITPK1		
OR2H1		
CGREF1	HPA008241	
CGREF1	8241	
FYB1	CAB025336	
FYB1	HPA026796	
OR2H1		
OR2H1		
CGREF1	HPA008241	
CGREF1	8241	
IGLV3-32		
CGREF1	HPA008241	
CGREF1	8241	
OR2H1		
DUOXA2	HPA063548	
DUOXA2	63548	
CGREF1	HPA008241	
CGREF1	8241	
CGREF1	HPA008241	
CGREF1	HPA008241	
CGREF1	8241	
MYL9	HPA039262	
MYL9	HPA045244	
MYL9	HPA059197	
MYL9	39262	
MYL9	45244	
MYL9	59197	
DUOXA2	HPA063548	
MYL9	HPA039262	
MYL9	HPA045244	
MYL9	HPA059197	
MYL9	39262	
MYL9	45244	
MYL9	59197	
IGHV1OR15-9		
FYB1	CAB025336	
FYB1	HPA026796	
FYB1	25336	
FYB1	26796	
SERPINA10	HPA048739	
SERPINA10		
NMRAL1	HPA041353	
NMRAL1	HPA062287	
NMRAL1	HPA041353	
NMRAL1	HPA062287	
NMRAL1		
DUOX2		
NMRAL1		
NMRAL1	HPA041353	
NMRAL1	HPA062287	
CDK7	CAB004364	
CDK7	HPA007932	
MBOAT7		
NMRAL1	HPA041353	
NMRAL1	HPA062287	
DLGAP4	HPA054105	
DLGAP4	HPA056378	
DLGAP4	54105	
NMRAL1		
MBOAT7		
RPAP1	41739	
NMRAL1		
NMRAL1		
RPAP1	HPA041739	
RPAP1	41739	
DUOX2		
CDK7		
SIGIRR		
NMRAL1		
RPAP1	HPA041739	
NMRAL1		
CDK7		
CDK7		
KHK	HPA007040	
KHK	7040	
SIGIRR		
DLGAP4	HPA054105	
DLGAP4	HPA056378	
DLGAP4	54105	
DLGAP4	56378	
CDK7		
MBOAT7		
RPAP1		
KHK	HPA007040	
KHK	7040	
CDK7		
CDK7		
MBOAT7		
CDK7		
KHK		
CDK7		
RPAP1		
RPAP1		
CDK7		
CDK7		
MBOAT7		
FYB1	CAB025336	
FYB1	HPA026796	
FYB1	25336	
FYB1	26796	
MAS1L	HPA017983	
IGHV3OR15-7		
IGHD5OR15-5A		
HIST1H2BO	HPA042205	
HIST1H2BO	HPA043013	
HIST1H2BO	HPA048671	
HIST1H2BO	42205	
HIST1H2BO	43013	
HIST1H2BO	48671	
IGHD4OR15-4A		
OR2B2		
FYB1		
SIGIRR	HPA023188	
SIGIRR	23188	
IGHD3OR15-3A		
SIGIRR	HPA023188	
SIGIRR	23188	
SIGIRR	HPA023188	
SIGIRR	23188	
IGHD2OR15-2A		
IGHD1OR15-1A		
SIGIRR	23188	
SIGIRR		
DLGAP4	54105	
DLGAP4		
ANKRD33B		
PPP1R17	HPA047819	
PPP1R17	HPA073123	
PPP1R17	47819	
PPP1R17	73123	
DLGAP4	54105	
PPP1R17	HPA047819	
PPP1R17	HPA073123	
PPP1R17	73123	
SIGIRR		
DLGAP4	HPA054105	
DLGAP4	HPA056378	
DLGAP4	54105	
DLGAP4	56378	
MOAP1	HPA000939	
AKAP11	HPA039089	
AKAP11	39089	
ANKRD33B	HPA056974	
ANKRD33B	56974	
FYB1	25336	
FYB1	26796	
MOAP1	HPA000939	
DLGAP4	54105	
IFT88		
SIGIRR		
DLGAP4	HPA054105	
DLGAP4	HPA056378	
DLGAP4	54105	
IFT88		
FYB1	25336	
DLGAP4	HPA054105	
DLGAP4	HPA056378	
DLGAP4	54105	
DLGAP4	56378	
IFT88		
OR2B6		
IFT88		
APOL5		
TRIM39-RPP21	51120	
TRIM44	HPA049053	
TRIM44	HPA057633	
TRIM44	49053	
TRIM44	57633	
CCNY		
FYB1	25336	
FYB1	25336	
TRIM39	51120	
FKBP6	HPA061109	
FKBP6	61109	
SHROOM4	HPA010565	
SHROOM4	10565	
TRIM39		
FKBP6		
FKBP6		
SHROOM4	HPA010565	
SHROOM4	10565	
FKBP6	HPA061109	
FKBP6	61109	
SHROOM4	HPA010565	
SHROOM4	10565	
FKBP6		
FKBP6		
IFNGR2		
FYB1	25336	
FKBP6	HPA061109	
FKBP6	61109	
OSGEP	HPA039751	
OSGEP	39751	
OSGEP		
OSGEP	39751	
OR2H2		
AL035460.1		
HMOX2		
UBD	HPA043710	
TMEM239		
ASMT		
TMEM239		
LDHAL6A		
CCNY	HPA036290	
UBE2L6	CAB073407	
UBE2L6	HPA003328	
UBE2L6	73407	
CCNY		
LDHAL6A		
C20orf141		
ASMT		
ASMT		
LDHAL6A		
CCNY	HPA036290	
CCNY	36290	
C20orf141		
ASMT		
ANKRD63		
IFNGR2		
TRIM39	HPA051120	
